id,notes,bpm,uid,title,uploadedat,rating
14,"[{""start"":0,""end"":1,""pitch"":74},{""start"":1,""end"":1.5,""pitch"":74},{""start"":1.5,""end"":2,""pitch"":72},{""start"":2,""end"":3,""pitch"":74},{""start"":3,""end"":4,""pitch"":81},{""start"":4,""end"":5,""pitch"":79},{""start"":5,""end"":5.5,""pitch"":79},{""start"":5.5,""end"":6,""pitch"":77},{""start"":6,""end"":6.5,""pitch"":79},{""start"":6.5,""end"":7,""pitch"":77},{""start"":7,""end"":8,""pitch"":74},{""start"":8,""end"":8.5,""pitch"":72},{""start"":8.5,""end"":9,""pitch"":74},{""start"":9,""end"":9.5,""pitch"":69},{""start"":9.5,""end"":10,""pitch"":67},{""start"":10,""end"":12,""pitch"":69},{""start"":12,""end"":12.5,""pitch"":72},{""start"":12.5,""end"":13,""pitch"":74},{""start"":13,""end"":13.5,""pitch"":69},{""start"":13.5,""end"":14,""pitch"":72},{""start"":14,""end"":16,""pitch"":74},{""start"":0,""end"":2,""pitch"":69},{""start"":2,""end"":4,""pitch"":67},{""start"":0,""end"":2,""pitch"":65},{""start"":2,""end"":4,""pitch"":64},{""start"":0,""end"":2,""pitch"":58},{""start"":2,""end"":4,""pitch"":57},{""start"":4,""end"":6,""pitch"":55},{""start"":4,""end"":6,""pitch"":65},{""start"":4,""end"":6,""pitch"":70},{""start"":6,""end"":8,""pitch"":69},{""start"":6,""end"":8,""pitch"":65},{""start"":6,""end"":8,""pitch"":62},{""start"":8,""end"":10,""pitch"":65},{""start"":10,""end"":12,""pitch"":64},{""start"":12,""end"":14,""pitch"":62},{""start"":8,""end"":10,""pitch"":62},{""start"":10,""end"":12,""pitch"":60},{""start"":12,""end"":14,""pitch"":58},{""start"":14,""end"":16,""pitch"":57},{""start"":8,""end"":10,""pitch"":58},{""start"":10,""end"":12,""pitch"":57},{""start"":12,""end"":14,""pitch"":55},{""start"":14,""end"":16,""pitch"":50},{""start"":14,""end"":16,""pitch"":66}]",105,1,Sample Opus 14,2018-10-28 0:00:13.000,
15,"[{""start"":0,""end"":0.5,""pitch"":80},{""start"":0.5,""end"":1,""pitch"":81},{""start"":1,""end"":1.5,""pitch"":83},{""start"":1.5,""end"":2,""pitch"":73},{""start"":3.5,""end"":4,""pitch"":73},{""start"":4,""end"":4.5,""pitch"":75},{""start"":4.5,""end"":5,""pitch"":76},{""start"":5,""end"":5.5,""pitch"":78},{""start"":5.5,""end"":6,""pitch"":76},{""start"":0,""end"":1.5,""pitch"":64},{""start"":0,""end"":1.5,""pitch"":71},{""start"":1.5,""end"":2,""pitch"":57},{""start"":1.5,""end"":2,""pitch"":64},{""start"":1.5,""end"":2,""pitch"":69},{""start"":4,""end"":5.5,""pitch"":66},{""start"":4,""end"":5.5,""pitch"":59},{""start"":5.5,""end"":6,""pitch"":61},{""start"":5.5,""end"":6,""pitch"":68},{""start"":8,""end"":8.5,""pitch"":68},{""start"":8.5,""end"":9,""pitch"":69},{""start"":9,""end"":9.5,""pitch"":71},{""start"":9.5,""end"":10.5,""pitch"":73},{""start"":8,""end"":8.5,""pitch"":52},{""start"":8.5,""end"":9,""pitch"":54},{""start"":9,""end"":9.5,""pitch"":56},{""start"":10.5,""end"":11,""pitch"":76},{""start"":11,""end"":11.5,""pitch"":71},{""start"":11.5,""end"":12,""pitch"":76},{""start"":9.5,""end"":11,""pitch"":64},{""start"":9.5,""end"":11,""pitch"":57},{""start"":11,""end"":12,""pitch"":56},{""start"":11,""end"":12,""pitch"":64},{""start"":12,""end"":12.5,""pitch"":70},{""start"":12.5,""end"":13,""pitch"":73},{""start"":13,""end"":13.5,""pitch"":80},{""start"":13.5,""end"":14,""pitch"":78},{""start"":12,""end"":13.5,""pitch"":64},{""start"":12,""end"":13.5,""pitch"":54},{""start"":13.5,""end"":14,""pitch"":59},{""start"":13.5,""end"":14,""pitch"":69},{""start"":13.5,""end"":14,""pitch"":64}]",132,1,Sample Opus 15,2018-10-28 0:00:14.000,
16,"[{""start"":0,""end"":0.5,""pitch"":74},{""start"":0.5,""end"":1,""pitch"":69},{""start"":1,""end"":1.5,""pitch"":74},{""start"":1.5,""end"":2,""pitch"":77},{""start"":2,""end"":2.5,""pitch"":76},{""start"":2.5,""end"":3,""pitch"":69},{""start"":3,""end"":3.5,""pitch"":73},{""start"":3.5,""end"":4,""pitch"":76},{""start"":4,""end"":4.5,""pitch"":77},{""start"":4.5,""end"":5,""pitch"":74},{""start"":5,""end"":5.5,""pitch"":77},{""start"":5.5,""end"":6,""pitch"":81},{""start"":6,""end"":7.5,""pitch"":86},{""start"":7.5,""end"":8,""pitch"":74},{""start"":8,""end"":8.5,""pitch"":84},{""start"":8.5,""end"":9,""pitch"":82},{""start"":9,""end"":9.5,""pitch"":82},{""start"":9.5,""end"":10,""pitch"":81},{""start"":0,""end"":2,""pitch"":62},{""start"":2,""end"":4,""pitch"":61},{""start"":4,""end"":6,""pitch"":60},{""start"":6,""end"":8,""pitch"":59},{""start"":0,""end"":2,""pitch"":65},{""start"":2,""end"":4,""pitch"":64},{""start"":4,""end"":6,""pitch"":69},{""start"":6,""end"":8,""pitch"":67},{""start"":8,""end"":10,""pitch"":58},{""start"":8,""end"":8.5,""pitch"":69},{""start"":8.5,""end"":9,""pitch"":67},{""start"":9,""end"":9.5,""pitch"":67},{""start"":9.5,""end"":10,""pitch"":65},{""start"":10,""end"":12,""pitch"":57},{""start"":14,""end"":16,""pitch"":62},{""start"":14,""end"":15.5,""pitch"":69},{""start"":14,""end"":15.5,""pitch"":65},{""start"":10,""end"":12,""pitch"":64},{""start"":10,""end"":11.5,""pitch"":79},{""start"":11.5,""end"":12,""pitch"":72},{""start"":12,""end"":12.5,""pitch"":74},{""start"":12.5,""end"":13,""pitch"":77},{""start"":13,""end"":13.5,""pitch"":77},{""start"":13.5,""end"":14,""pitch"":79},{""start"":14,""end"":15.5,""pitch"":74},{""start"":12,""end"":14,""pitch"":70},{""start"":12,""end"":14,""pitch"":55},{""start"":10,""end"":11,""pitch"":72}]",130,1,Sample Opus 16,2018-10-28 0:00:15.000,
17,"[{""start"":0,""end"":0.5,""pitch"":39},{""start"":0.5,""end"":1,""pitch"":58},{""start"":0.5,""end"":1,""pitch"":55},{""start"":1,""end"":1.5,""pitch"":46},{""start"":1.5,""end"":2,""pitch"":55},{""start"":1.5,""end"":2,""pitch"":58},{""start"":2,""end"":2.5,""pitch"":51},{""start"":2.5,""end"":3,""pitch"":55},{""start"":2.5,""end"":3,""pitch"":58},{""start"":3.5,""end"":4,""pitch"":55},{""start"":3.5,""end"":4,""pitch"":58},{""start"":0,""end"":2,""pitch"":63},{""start"":2,""end"":4,""pitch"":70},{""start"":6,""end"":8,""pitch"":70},{""start"":4.5,""end"":5,""pitch"":60},{""start"":4.5,""end"":5,""pitch"":56},{""start"":5.5,""end"":6,""pitch"":56},{""start"":5.5,""end"":6,""pitch"":60},{""start"":6.5,""end"":7,""pitch"":58},{""start"":6.5,""end"":7,""pitch"":55},{""start"":7.5,""end"":8,""pitch"":55},{""start"":7.5,""end"":8,""pitch"":58},{""start"":6,""end"":6.5,""pitch"":51},{""start"":7,""end"":7.5,""pitch"":46},{""start"":3,""end"":3.5,""pitch"":46},{""start"":4,""end"":4.5,""pitch"":44},{""start"":5,""end"":5.5,""pitch"":48},{""start"":4,""end"":5,""pitch"":72},{""start"":5,""end"":5.5,""pitch"":70},{""start"":5.5,""end"":6,""pitch"":68},{""start"":8,""end"":9,""pitch"":68},{""start"":9,""end"":9.5,""pitch"":67},{""start"":9.5,""end"":10,""pitch"":65},{""start"":10,""end"":11,""pitch"":67},{""start"":11,""end"":12,""pitch"":72},{""start"":8.5,""end"":9,""pitch"":60},{""start"":8.5,""end"":9,""pitch"":56},{""start"":9.5,""end"":10,""pitch"":56},{""start"":9.5,""end"":10,""pitch"":60},{""start"":8,""end"":8.5,""pitch"":41},{""start"":9,""end"":9.5,""pitch"":44},{""start"":10,""end"":10.5,""pitch"":48},{""start"":10.5,""end"":11,""pitch"":60},{""start"":11.5,""end"":12,""pitch"":60},{""start"":10.5,""end"":11,""pitch"":63},{""start"":11.5,""end"":12,""pitch"":63},{""start"":11,""end"":11.5,""pitch"":51},{""start"":12,""end"":12.5,""pitch"":55},{""start"":12.5,""end"":13,""pitch"":59},{""start"":13,""end"":13.5,""pitch"":43},{""start"":13.5,""end"":14,""pitch"":59},{""start"":12,""end"":12.5,""pitch"":71},{""start"":12.5,""end"":13,""pitch"":72},{""start"":13,""end"":13.5,""pitch"":74},{""start"":13.5,""end"":14,""pitch"":75},{""start"":14,""end"":15.5,""pitch"":72},{""start"":12.5,""end"":13,""pitch"":65},{""start"":13.5,""end"":14,""pitch"":65},{""start"":14,""end"":14.5,""pitch"":48},{""start"":14.5,""end"":15,""pitch"":60},{""start"":14.5,""end"":15,""pitch"":63},{""start"":15,""end"":15.5,""pitch"":55},{""start"":15.5,""end"":16,""pitch"":60},{""start"":15.5,""end"":16,""pitch"":63}]",118,1,Sample Opus 17,2018-10-28 0:00:16.000,
18,"[{""start"":0,""end"":0.5,""pitch"":72},{""start"":0.5,""end"":1,""pitch"":70},{""start"":1,""end"":1.5,""pitch"":68},{""start"":1.5,""end"":2.5,""pitch"":70},{""start"":2.5,""end"":3,""pitch"":75},{""start"":3,""end"":4.5,""pitch"":79},{""start"":4.5,""end"":5,""pitch"":79},{""start"":5,""end"":5.5,""pitch"":80},{""start"":5.5,""end"":6,""pitch"":79},{""start"":6,""end"":6.5,""pitch"":77},{""start"":6.5,""end"":7,""pitch"":75},{""start"":7,""end"":7.5,""pitch"":72},{""start"":7.5,""end"":8,""pitch"":70},{""start"":8,""end"":8.5,""pitch"":72},{""start"":8.5,""end"":9,""pitch"":70},{""start"":9,""end"":9.5,""pitch"":68},{""start"":9.5,""end"":10.5,""pitch"":70},{""start"":10.5,""end"":11,""pitch"":75},{""start"":12.5,""end"":13,""pitch"":63},{""start"":13.5,""end"":14,""pitch"":68},{""start"":14,""end"":14.5,""pitch"":70},{""start"":14.5,""end"":15,""pitch"":72},{""start"":0,""end"":0.5,""pitch"":65},{""start"":1.5,""end"":2.5,""pitch"":63},{""start"":3,""end"":4.5,""pitch"":72},{""start"":3,""end"":4.5,""pitch"":68},{""start"":3,""end"":6,""pitch"":63},{""start"":3,""end"":6,""pitch"":53},{""start"":0,""end"":1.5,""pitch"":56},{""start"":1.5,""end"":3,""pitch"":55},{""start"":0,""end"":1.5,""pitch"":49},{""start"":1.5,""end"":3,""pitch"":48},{""start"":6,""end"":7,""pitch"":61},{""start"":7,""end"":8,""pitch"":60},{""start"":6,""end"":7,""pitch"":51},{""start"":7,""end"":8,""pitch"":50},{""start"":8,""end"":9.5,""pitch"":65},{""start"":6,""end"":7,""pitch"":66},{""start"":7,""end"":8,""pitch"":65},{""start"":8,""end"":9.5,""pitch"":37},{""start"":8.5,""end"":9.5,""pitch"":44},{""start"":9,""end"":9.5,""pitch"":53},{""start"":9.5,""end"":11,""pitch"":48},{""start"":9.5,""end"":11,""pitch"":55},{""start"":9.5,""end"":11,""pitch"":63},{""start"":12.5,""end"":13,""pitch"":51},{""start"":13,""end"":13.5,""pitch"":53},{""start"":13.5,""end"":14,""pitch"":56},{""start"":13,""end"":13.5,""pitch"":65},{""start"":14,""end"":14.5,""pitch"":65},{""start"":14,""end"":14.5,""pitch"":62},{""start"":14.5,""end"":15,""pitch"":62},{""start"":14.5,""end"":15,""pitch"":65},{""start"":14,""end"":14.5,""pitch"":58},{""start"":14.5,""end"":15,""pitch"":58},{""start"":14,""end"":14.5,""pitch"":48},{""start"":14.5,""end"":15,""pitch"":48},{""start"":11,""end"":12,""pitch"":61},{""start"":11,""end"":12,""pitch"":56},{""start"":11,""end"":12,""pitch"":65},{""start"":11,""end"":12,""pitch"":46}]",165,1,Sample Opus 18,2018-10-28 0:00:17.000,
19,"[{""start"":1,""end"":1.5,""pitch"":61},{""start"":1.5,""end"":2,""pitch"":65},{""start"":2,""end"":2.5,""pitch"":60},{""start"":2,""end"":2.5,""pitch"":68},{""start"":3,""end"":3.5,""pitch"":61},{""start"":3,""end"":3.5,""pitch"":70},{""start"":3.5,""end"":4,""pitch"":77},{""start"":2.5,""end"":3,""pitch"":63},{""start"":0,""end"":3.5,""pitch"":46},{""start"":0.5,""end"":3.5,""pitch"":53},{""start"":1,""end"":3.5,""pitch"":58},{""start"":4,""end"":7.5,""pitch"":41},{""start"":4.5,""end"":7.5,""pitch"":48},{""start"":5,""end"":7.5,""pitch"":53},{""start"":5,""end"":5.5,""pitch"":56},{""start"":5.5,""end"":6,""pitch"":60},{""start"":6,""end"":6.5,""pitch"":58},{""start"":6,""end"":6.5,""pitch"":67},{""start"":6.5,""end"":7,""pitch"":60},{""start"":7,""end"":7.5,""pitch"":65},{""start"":5,""end"":5.5,""pitch"":68},{""start"":7,""end"":7.5,""pitch"":56},{""start"":7.5,""end"":8,""pitch"":60},{""start"":4,""end"":5.5,""pitch"":72},{""start"":4,""end"":5.5,""pitch"":75},{""start"":5.5,""end"":7,""pitch"":73},{""start"":7,""end"":8,""pitch"":72},{""start"":5.5,""end"":7,""pitch"":70},{""start"":7,""end"":8,""pitch"":68},{""start"":8,""end"":9.5,""pitch"":70},{""start"":8,""end"":9.5,""pitch"":73},{""start"":9.5,""end"":10,""pitch"":68},{""start"":10,""end"":10.5,""pitch"":73},{""start"":10.5,""end"":11,""pitch"":75},{""start"":12,""end"":13,""pitch"":77},{""start"":8,""end"":11.5,""pitch"":42},{""start"":8.5,""end"":11.5,""pitch"":49},{""start"":9,""end"":11.5,""pitch"":54},{""start"":13,""end"":14,""pitch"":78},{""start"":14,""end"":15,""pitch"":77},{""start"":15,""end"":16,""pitch"":75},{""start"":13,""end"":14,""pitch"":75},{""start"":14,""end"":15,""pitch"":73},{""start"":12,""end"":13,""pitch"":80},{""start"":11,""end"":11.5,""pitch"":73},{""start"":12.5,""end"":13,""pitch"":56},{""start"":12,""end"":13.5,""pitch"":49},{""start"":14,""end"":14.5,""pitch"":49},{""start"":15.5,""end"":16,""pitch"":48},{""start"":13.5,""end"":15,""pitch"":56},{""start"":13,""end"":14.5,""pitch"":61},{""start"":9,""end"":9.5,""pitch"":58},{""start"":9.5,""end"":10,""pitch"":61},{""start"":10,""end"":10.5,""pitch"":66},{""start"":10.5,""end"":11,""pitch"":68},{""start"":11,""end"":11.5,""pitch"":66},{""start"":11.5,""end"":12,""pitch"":68},{""start"":10,""end"":10.5,""pitch"":58},{""start"":11,""end"":11.5,""pitch"":58},{""start"":11.5,""end"":12,""pitch"":61},{""start"":14.5,""end"":15,""pitch"":44},{""start"":15,""end"":15.5,""pitch"":37},{""start"":12,""end"":13,""pitch"":68},{""start"":13,""end"":14,""pitch"":66},{""start"":14,""end"":15,""pitch"":65},{""start"":15,""end"":16,""pitch"":63},{""start"":15,""end"":16,""pitch"":68}]",120,1,Sample Opus 19,2018-10-28 0:00:18.000,
20,"[{""start"":0,""end"":1.5,""pitch"":48},{""start"":0,""end"":1.5,""pitch"":55},{""start"":1.5,""end"":3,""pitch"":47},{""start"":3,""end"":4.5,""pitch"":52},{""start"":4.5,""end"":6,""pitch"":50},{""start"":4.5,""end"":6,""pitch"":57},{""start"":6,""end"":8,""pitch"":43},{""start"":6,""end"":8,""pitch"":53},{""start"":4,""end"":4.5,""pitch"":69},{""start"":4.5,""end"":5,""pitch"":71},{""start"":5,""end"":5.5,""pitch"":67},{""start"":5.5,""end"":6,""pitch"":69},{""start"":6,""end"":6.5,""pitch"":71},{""start"":0,""end"":0.5,""pitch"":71},{""start"":0.5,""end"":1,""pitch"":67},{""start"":1,""end"":1.5,""pitch"":69},{""start"":1.5,""end"":2,""pitch"":71},{""start"":2,""end"":2.5,""pitch"":67},{""start"":2.5,""end"":3,""pitch"":69},{""start"":3,""end"":3.5,""pitch"":71},{""start"":3.5,""end"":4,""pitch"":67},{""start"":6.5,""end"":7,""pitch"":69},{""start"":7,""end"":7.5,""pitch"":71},{""start"":7.5,""end"":8,""pitch"":74},{""start"":0,""end"":1.5,""pitch"":64},{""start"":1.5,""end"":3,""pitch"":63},{""start"":1.5,""end"":3,""pitch"":55},{""start"":3,""end"":4.5,""pitch"":62},{""start"":6,""end"":8,""pitch"":59},{""start"":6,""end"":8,""pitch"":64},{""start"":3,""end"":4.5,""pitch"":55},{""start"":4.5,""end"":6,""pitch"":65},{""start"":8,""end"":8.5,""pitch"":76},{""start"":8.5,""end"":9,""pitch"":74},{""start"":9,""end"":9.5,""pitch"":71},{""start"":8,""end"":9.5,""pitch"":48},{""start"":8,""end"":9.5,""pitch"":55},{""start"":8,""end"":9.5,""pitch"":64},{""start"":9.5,""end"":10.5,""pitch"":69},{""start"":10.5,""end"":11,""pitch"":67},{""start"":9.5,""end"":11,""pitch"":41},{""start"":9.5,""end"":11,""pitch"":48},{""start"":9.5,""end"":11,""pitch"":55},{""start"":9.5,""end"":11,""pitch"":57},{""start"":9.5,""end"":11,""pitch"":63},{""start"":11,""end"":12.5,""pitch"":69},{""start"":11,""end"":14,""pitch"":40},{""start"":11,""end"":14,""pitch"":47},{""start"":11,""end"":14,""pitch"":55},{""start"":11,""end"":14,""pitch"":57},{""start"":11,""end"":14,""pitch"":62},{""start"":12.5,""end"":13,""pitch"":71},{""start"":13,""end"":13.5,""pitch"":74},{""start"":13.5,""end"":14,""pitch"":67},{""start"":14,""end"":14.5,""pitch"":69},{""start"":14.5,""end"":15,""pitch"":71},{""start"":14,""end"":15,""pitch"":60},{""start"":14,""end"":16,""pitch"":53},{""start"":15,""end"":16,""pitch"":59},{""start"":14,""end"":16,""pitch"":64},{""start"":14,""end"":16,""pitch"":43},{""start"":15,""end"":15.5,""pitch"":74},{""start"":15.5,""end"":16,""pitch"":76}]",162,1,Sample Opus 20,2018-10-28 0:00:19.000,